colour	x	y	key	clickSelects	showSelected1	fill
#C77CFF	0	42	41	41	0	#C77CFF
#C77CFF	2	51	41	41	2	#C77CFF
#C77CFF	4	66	41	41	4	#C77CFF
#C77CFF	6	85	41	41	6	#C77CFF
#C77CFF	8	103	41	41	8	#C77CFF
#C77CFF	10	124	41	41	10	#C77CFF
#C77CFF	12	155	41	41	12	#C77CFF
#C77CFF	14	153	41	41	14	#C77CFF
#C77CFF	16	175	41	41	16	#C77CFF
#C77CFF	18	184	41	41	18	#C77CFF
#C77CFF	20	199	41	41	20	#C77CFF
#C77CFF	21	204	41	41	21	#C77CFF
#C77CFF	0	42	42	42	0	#C77CFF
#C77CFF	2	49	42	42	2	#C77CFF
#C77CFF	4	63	42	42	4	#C77CFF
#C77CFF	6	84	42	42	6	#C77CFF
#C77CFF	8	103	42	42	8	#C77CFF
#C77CFF	10	126	42	42	10	#C77CFF
#C77CFF	12	160	42	42	12	#C77CFF
#C77CFF	14	174	42	42	14	#C77CFF
#C77CFF	16	204	42	42	16	#C77CFF
#C77CFF	18	234	42	42	18	#C77CFF
#C77CFF	20	269	42	42	20	#C77CFF
#C77CFF	21	281	42	42	21	#C77CFF
#C77CFF	0	42	43	43	0	#C77CFF
#C77CFF	2	55	43	43	2	#C77CFF
#C77CFF	4	69	43	43	4	#C77CFF
#C77CFF	6	96	43	43	6	#C77CFF
#C77CFF	8	131	43	43	8	#C77CFF
#C77CFF	10	157	43	43	10	#C77CFF
#C77CFF	12	184	43	43	12	#C77CFF
#C77CFF	14	188	43	43	14	#C77CFF
#C77CFF	16	197	43	43	16	#C77CFF
#C77CFF	18	198	43	43	18	#C77CFF
#C77CFF	20	199	43	43	20	#C77CFF
#C77CFF	21	200	43	43	21	#C77CFF
#C77CFF	0	42	44	44	0	#C77CFF
#C77CFF	2	51	44	44	2	#C77CFF
#C77CFF	4	65	44	44	4	#C77CFF
#C77CFF	6	86	44	44	6	#C77CFF
#C77CFF	8	103	44	44	8	#C77CFF
#C77CFF	10	118	44	44	10	#C77CFF
#C77CFF	12	127	44	44	12	#C77CFF
#C77CFF	14	138	44	44	14	#C77CFF
#C77CFF	16	145	44	44	16	#C77CFF
#C77CFF	18	146	44	44	18	#C77CFF
#C77CFF	0	41	45	45	0	#C77CFF
#C77CFF	2	50	45	45	2	#C77CFF
#C77CFF	4	61	45	45	4	#C77CFF
#C77CFF	6	78	45	45	6	#C77CFF
#C77CFF	8	98	45	45	8	#C77CFF
#C77CFF	10	117	45	45	10	#C77CFF
#C77CFF	12	135	45	45	12	#C77CFF
#C77CFF	14	141	45	45	14	#C77CFF
#C77CFF	16	147	45	45	16	#C77CFF
#C77CFF	18	174	45	45	18	#C77CFF
#C77CFF	20	197	45	45	20	#C77CFF
#C77CFF	21	196	45	45	21	#C77CFF
#C77CFF	0	40	46	46	0	#C77CFF
#C77CFF	2	52	46	46	2	#C77CFF
#C77CFF	4	62	46	46	4	#C77CFF
#C77CFF	6	82	46	46	6	#C77CFF
#C77CFF	8	101	46	46	8	#C77CFF
#C77CFF	10	120	46	46	10	#C77CFF
#C77CFF	12	144	46	46	12	#C77CFF
#C77CFF	14	156	46	46	14	#C77CFF
#C77CFF	16	173	46	46	16	#C77CFF
#C77CFF	18	210	46	46	18	#C77CFF
#C77CFF	20	231	46	46	20	#C77CFF
#C77CFF	21	238	46	46	21	#C77CFF
#C77CFF	0	41	47	47	0	#C77CFF
#C77CFF	2	53	47	47	2	#C77CFF
#C77CFF	4	66	47	47	4	#C77CFF
#C77CFF	6	79	47	47	6	#C77CFF
#C77CFF	8	100	47	47	8	#C77CFF
#C77CFF	10	123	47	47	10	#C77CFF
#C77CFF	12	148	47	47	12	#C77CFF
#C77CFF	14	157	47	47	14	#C77CFF
#C77CFF	16	168	47	47	16	#C77CFF
#C77CFF	18	185	47	47	18	#C77CFF
#C77CFF	20	210	47	47	20	#C77CFF
#C77CFF	21	205	47	47	21	#C77CFF
#C77CFF	0	39	48	48	0	#C77CFF
#C77CFF	2	50	48	48	2	#C77CFF
#C77CFF	4	62	48	48	4	#C77CFF
#C77CFF	6	80	48	48	6	#C77CFF
#C77CFF	8	104	48	48	8	#C77CFF
#C77CFF	10	125	48	48	10	#C77CFF
#C77CFF	12	154	48	48	12	#C77CFF
#C77CFF	14	170	48	48	14	#C77CFF
#C77CFF	16	222	48	48	16	#C77CFF
#C77CFF	18	261	48	48	18	#C77CFF
#C77CFF	20	303	48	48	20	#C77CFF
#C77CFF	21	322	48	48	21	#C77CFF
#C77CFF	0	40	49	49	0	#C77CFF
#C77CFF	2	53	49	49	2	#C77CFF
#C77CFF	4	64	49	49	4	#C77CFF
#C77CFF	6	85	49	49	6	#C77CFF
#C77CFF	8	108	49	49	8	#C77CFF
#C77CFF	10	128	49	49	10	#C77CFF
#C77CFF	12	152	49	49	12	#C77CFF
#C77CFF	14	166	49	49	14	#C77CFF
#C77CFF	16	184	49	49	16	#C77CFF
