colour	x	y	key	clickSelects	showSelected1	fill
#F8766D	0	42	1	1	0	#F8766D
#F8766D	2	51	1	1	2	#F8766D
#F8766D	4	59	1	1	4	#F8766D
#F8766D	6	64	1	1	6	#F8766D
#F8766D	8	76	1	1	8	#F8766D
#F8766D	10	93	1	1	10	#F8766D
#F8766D	12	106	1	1	12	#F8766D
#F8766D	14	125	1	1	14	#F8766D
#F8766D	16	149	1	1	16	#F8766D
#F8766D	18	171	1	1	18	#F8766D
#F8766D	20	199	1	1	20	#F8766D
#F8766D	21	205	1	1	21	#F8766D
#F8766D	0	40	2	2	0	#F8766D
#F8766D	2	49	2	2	2	#F8766D
#F8766D	4	58	2	2	4	#F8766D
#F8766D	6	72	2	2	6	#F8766D
#F8766D	8	84	2	2	8	#F8766D
#F8766D	10	103	2	2	10	#F8766D
#F8766D	12	122	2	2	12	#F8766D
#F8766D	14	138	2	2	14	#F8766D
#F8766D	16	162	2	2	16	#F8766D
#F8766D	18	187	2	2	18	#F8766D
#F8766D	20	209	2	2	20	#F8766D
#F8766D	21	215	2	2	21	#F8766D
#F8766D	0	43	3	3	0	#F8766D
#F8766D	2	39	3	3	2	#F8766D
#F8766D	4	55	3	3	4	#F8766D
#F8766D	6	67	3	3	6	#F8766D
#F8766D	8	84	3	3	8	#F8766D
#F8766D	10	99	3	3	10	#F8766D
#F8766D	12	115	3	3	12	#F8766D
#F8766D	14	138	3	3	14	#F8766D
#F8766D	16	163	3	3	16	#F8766D
#F8766D	18	187	3	3	18	#F8766D
#F8766D	20	198	3	3	20	#F8766D
#F8766D	21	202	3	3	21	#F8766D
#F8766D	0	42	4	4	0	#F8766D
#F8766D	2	49	4	4	2	#F8766D
#F8766D	4	56	4	4	4	#F8766D
#F8766D	6	67	4	4	6	#F8766D
#F8766D	8	74	4	4	8	#F8766D
#F8766D	10	87	4	4	10	#F8766D
#F8766D	12	102	4	4	12	#F8766D
#F8766D	14	108	4	4	14	#F8766D
#F8766D	16	136	4	4	16	#F8766D
#F8766D	18	154	4	4	18	#F8766D
#F8766D	20	160	4	4	20	#F8766D
#F8766D	21	157	4	4	21	#F8766D
#F8766D	0	41	5	5	0	#F8766D
#F8766D	2	42	5	5	2	#F8766D
#F8766D	4	48	5	5	4	#F8766D
#F8766D	6	60	5	5	6	#F8766D
#F8766D	8	79	5	5	8	#F8766D
#F8766D	10	106	5	5	10	#F8766D
#F8766D	12	141	5	5	12	#F8766D
#F8766D	14	164	5	5	14	#F8766D
#F8766D	16	197	5	5	16	#F8766D
#F8766D	18	199	5	5	18	#F8766D
#F8766D	20	220	5	5	20	#F8766D
#F8766D	21	223	5	5	21	#F8766D
#F8766D	0	41	6	6	0	#F8766D
#F8766D	2	49	6	6	2	#F8766D
#F8766D	4	59	6	6	4	#F8766D
#F8766D	6	74	6	6	6	#F8766D
#F8766D	8	97	6	6	8	#F8766D
#F8766D	10	124	6	6	10	#F8766D
#F8766D	12	141	6	6	12	#F8766D
#F8766D	14	148	6	6	14	#F8766D
#F8766D	16	155	6	6	16	#F8766D
#F8766D	18	160	6	6	18	#F8766D
#F8766D	20	160	6	6	20	#F8766D
#F8766D	21	157	6	6	21	#F8766D
#F8766D	0	41	7	7	0	#F8766D
#F8766D	2	49	7	7	2	#F8766D
#F8766D	4	57	7	7	4	#F8766D
#F8766D	6	71	7	7	6	#F8766D
#F8766D	8	89	7	7	8	#F8766D
#F8766D	10	112	7	7	10	#F8766D
#F8766D	12	146	7	7	12	#F8766D
#F8766D	14	174	7	7	14	#F8766D
#F8766D	16	218	7	7	16	#F8766D
#F8766D	18	250	7	7	18	#F8766D
#F8766D	20	288	7	7	20	#F8766D
#F8766D	21	305	7	7	21	#F8766D
#F8766D	0	42	8	8	0	#F8766D
#F8766D	2	50	8	8	2	#F8766D
#F8766D	4	61	8	8	4	#F8766D
#F8766D	6	71	8	8	6	#F8766D
#F8766D	8	84	8	8	8	#F8766D
#F8766D	10	93	8	8	10	#F8766D
#F8766D	12	110	8	8	12	#F8766D
#F8766D	14	116	8	8	14	#F8766D
#F8766D	16	126	8	8	16	#F8766D
#F8766D	18	134	8	8	18	#F8766D
#F8766D	20	125	8	8	20	#F8766D
#F8766D	0	42	9	9	0	#F8766D
#F8766D	2	51	9	9	2	#F8766D
#F8766D	4	59	9	9	4	#F8766D
#F8766D	6	68	9	9	6	#F8766D
#F8766D	8	85	9	9	8	#F8766D
#F8766D	10	96	9	9	10	#F8766D
#F8766D	12	90	9	9	12	#F8766D
#F8766D	14	92	9	9	14	#F8766D
#F8766D	16	93	9	9	16	#F8766D
#F8766D	18	100	9	9	18	#F8766D
#F8766D	20	100	9	9	20	#F8766D
#F8766D	21	98	9	9	21	#F8766D
#F8766D	0	41	10	10	0	#F8766D
#F8766D	2	44	10	10	2	#F8766D
#F8766D	4	52	10	10	4	#F8766D
#F8766D	6	63	10	10	6	#F8766D
